CalendarYearMonth,Value,District
2012-03,710663,Enfield
2012-06,721987,Enfield
2012-09,733316,Enfield
2012-12,742906,Enfield
2013-03,755750,Enfield
2013-06,752952,Enfield
2013-09,758626,Enfield
2013-12,768629,Enfield
2014-03,787056,Enfield
2014-06,810702,Enfield
2014-09,840531,Enfield
2014-12,861689,Enfield
2015-03,900439,Enfield
2015-06,922061,Enfield
2015-09,952271,Enfield
2015-12,987408,Enfield
2016-03,1029681,Enfield
2016-06,1062888,Enfield
2016-09,1112152,Enfield
2016-12,1138355,Enfield
2017-03,1166879,Enfield
2017-06,1182359,Enfield
2017-09,1174034,Enfield
2017-12,1183918,Enfield
1995-12,925975,England
1996-03,931903,England
1996-06,958313,England
1996-09,1017081,England
1996-12,1093429,England
1997-03,1136981,England
1997-06,1189037,England
1997-09,1227367,England
1997-12,1228837,England
1998-03,1224204,England
1998-06,1220845,England
1998-09,1210548,England
1998-12,1202781,England
1999-03,1211331,England
1999-06,1237018,England
1999-09,1297311,England
1999-12,1365627,England
2000-03,1402258,England
2000-06,1417087,England
2000-09,1369975,England
2000-12,1319155,England
2001-03,1308691,England
2001-06,1330532,England
2001-09,1400018,England
2001-12,1456947,England
2002-03,1492227,England
2002-06,1540126,England
2002-09,1577586,England
2002-12,1607145,England
2003-03,1604413,England
2003-06,1547879,England
2003-09,1521966,England
2003-12,1566262,England
2004-03,1616615,England
2004-06,1703479,England
2004-09,1732139,England
2004-12,1647281,England
2005-03,1559885,England
2005-06,1478630,England
2005-09,1440929,England
2005-12,1478966,England
2006-03,1553107,England
2006-06,1623534,England
2006-09,1690742,England
2006-12,1760853,England
2007-03,1793278,England
2007-06,1805935,England
2007-09,1798178,England
2007-12,1740694,England
2008-03,1644231,England
2008-06,1506438,England
2008-09,1305608,England
2008-12,1135298,England
2009-03,1038360,England
2009-06,978902,England
2009-09,1016062,England
2009-12,1105294,England
2010-03,1155480,England
2010-06,1187825,England
2010-09,1207977,England
2010-12,1181847,England
2011-03,1173705,England
2011-06,1161897,England
2011-09,1162690,England
2011-12,1171108,England
2012-03,1194581,England
2012-06,1195064,England
2012-09,1186037,England
2012-12,1187325,England
2013-03,1184489,England
2013-06,1211205,England
2013-09,1258841,England
2013-12,1322956,England
2014-03,1380527,England
2014-06,1431401,England
2014-09,1467778,England
2014-12,1474162,England
2015-03,1463182,England
2015-06,1461609,England
2015-09,1475903,England
2015-12,1502685,England
2016-03,1580571,England
2016-06,1566302,England
2016-09,1552084,England
2016-12,1533419,England
2017-03,1482260,England
2017-06,1518901,England
2017-09,1522847,England
2017-12,1521538,England
1995-12,958510,England And Wales
1996-03,965030,England And Wales
1996-06,992444,England And Wales
1996-09,1054087,England And Wales
1996-12,1132478,England And Wales
1997-03,1178910,England And Wales
1997-06,1232733,England And Wales
1997-09,1273124,England And Wales
1997-12,1274317,England And Wales
1998-03,1267130,England And Wales
1998-06,1263913,England And Wales
1998-09,1254118,England And Wales
1998-12,1244347,England And Wales
1999-03,1252967,England And Wales
1999-06,1279048,England And Wales
1999-09,1340839,England And Wales
1999-12,1411671,England And Wales
2000-03,1450920,England And Wales
2000-06,1467515,England And Wales
2000-09,1420469,England And Wales
2000-12,1367540,England And Wales
2001-03,1357196,England And Wales
2001-06,1380460,England And Wales
2001-09,1450827,England And Wales
2001-12,1511354,England And Wales
2002-03,1549761,England And Wales
2002-06,1598352,England And Wales
2002-09,1637662,England And Wales
2002-12,1666369,England And Wales
2003-03,1661846,England And Wales
2003-06,1604194,England And Wales
2003-09,1579102,England And Wales
2003-12,1625132,England And Wales
2004-03,1676394,England And Wales
2004-06,1764683,England And Wales
2004-09,1790558,England And Wales
2004-12,1699849,England And Wales
2005-03,1606544,England And Wales
2005-06,1522520,England And Wales
2005-09,1480465,England And Wales
2005-12,1520313,England And Wales
2006-03,1599955,England And Wales
2006-06,1671873,England And Wales
2006-09,1742684,England And Wales
2006-12,1814395,England And Wales
2007-03,1848936,England And Wales
2007-06,1862307,England And Wales
2007-09,1855945,England And Wales
2007-12,1791019,England And Wales
2008-03,1689012,England And Wales
2008-06,1546529,England And Wales
2008-09,1338844,England And Wales
2008-12,1158525,England And Wales
2009-03,1060856,England And Wales
2009-06,998834,England And Wales
2009-09,1035259,England And Wales
2009-12,1126798,England And Wales
2010-03,1177648,England And Wales
2010-06,1215984,England And Wales
2010-09,1231505,England And Wales
2010-12,1205711,England And Wales
2011-03,1197492,England And Wales
2011-06,1186724,England And Wales
2011-09,1184008,England And Wales
2011-12,1191267,England And Wales
2012-03,1217994,England And Wales
2012-06,1219483,England And Wales
2012-09,1211157,England And Wales
2012-12,1210788,England And Wales
2013-03,1205780,England And Wales
2013-06,1234577,England And Wales
2013-09,1284112,England And Wales
2013-12,1347757,England And Wales
2014-03,1406534,England And Wales
2014-06,1462462,England And Wales
2014-09,1496245,England And Wales
2014-12,1506043,England And Wales
2015-03,1495157,England And Wales
2015-06,1490731,England And Wales
2015-09,1503322,England And Wales
2015-12,1534824,England And Wales
2016-03,1614690,England And Wales
2016-06,1596540,England And Wales
2016-09,1584292,England And Wales
2016-12,1565146,England And Wales
2017-03,1511951,England And Wales
2017-06,1547771,England And Wales
2017-09,1555137,England And Wales
2017-12,1552601,England And Wales
1995-12,185114,Greenwich
1996-03,183537,Greenwich
1996-06,188298,Greenwich
1996-09,190618,Greenwich
1996-12,191561,Greenwich
1997-03,193555,Greenwich
1997-06,194101,Greenwich
1997-09,198599,Greenwich
1997-12,202659,Greenwich
1998-03,207209,Greenwich
1998-06,214012,Greenwich
1998-09,222054,Greenwich
1998-12,230632,Greenwich
1999-03,237389,Greenwich
1999-06,243755,Greenwich
1999-09,259388,Greenwich
1999-12,274269,Greenwich
2000-03,283464,Greenwich
2000-06,298340,Greenwich
2000-09,312334,Greenwich
2000-12,321337,Greenwich
2001-03,335105,Greenwich
2001-06,346744,Greenwich
2001-09,359787,Greenwich
2001-12,372656,Greenwich
2002-03,387044,Greenwich
2002-06,406250,Greenwich
2002-09,428246,Greenwich
2002-12,449994,Greenwich
2003-03,460896,Greenwich
2003-06,479485,Greenwich
2003-09,494978,Greenwich
2003-12,509556,Greenwich
2004-03,516577,Greenwich
2004-06,522557,Greenwich
2004-09,536675,Greenwich
2004-12,546031,Greenwich
2005-03,560463,Greenwich
2005-06,581362,Greenwich
2005-09,586018,Greenwich
2005-12,594857,Greenwich
2006-03,597180,Greenwich
2006-06,599834,Greenwich
2006-09,615518,Greenwich
2006-12,622848,Greenwich
2007-03,629703,Greenwich
2007-06,642205,Greenwich
2007-09,654742,Greenwich
2007-12,671067,Greenwich
2008-03,681709,Greenwich
2008-06,694616,Greenwich
2008-09,694716,Greenwich
2008-12,685117,Greenwich
2009-03,672475,Greenwich
2009-06,646670,Greenwich
2009-09,654445,Greenwich
2009-12,661224,Greenwich
2010-03,683160,Greenwich
2010-06,697466,Greenwich
2010-09,717229,Greenwich
2010-12,733771,Greenwich
2011-03,733489,Greenwich
2011-06,736887,Greenwich
2011-09,738711,Greenwich
2011-12,736202,Greenwich
2012-03,735779,Greenwich
2012-06,733490,Greenwich
2012-09,724560,Greenwich
2012-12,731394,Greenwich
2013-03,740371,Greenwich
2013-06,749425,Greenwich
2013-09,774536,Greenwich
2013-12,814598,Greenwich
2014-03,834688,Greenwich
2014-06,889651,Greenwich
2014-09,913089,Greenwich
2014-12,931910,Greenwich
2015-03,942433,Greenwich
2015-06,940119,Greenwich
2015-09,968014,Greenwich
2015-12,1028926,Greenwich
2016-03,1076528,Greenwich
2016-06,1105511,Greenwich
2016-09,1129004,Greenwich
2016-12,1154201,Greenwich
2017-03,1172126,Greenwich
2017-06,1192034,Greenwich
2017-09,1216422,Greenwich
2017-12,1216125,Greenwich
1995-12,180356,Hackney
1996-03,185010,Hackney
1996-06,184895,Hackney
1996-09,188521,Hackney
1996-12,190781,Hackney
1997-03,194111,Hackney
1997-06,203153,Hackney
1997-09,212870,Hackney
1997-12,224093,Hackney
1998-03,233367,Hackney
1998-06,241080,Hackney
1998-09,248045,Hackney
1998-12,254239,Hackney
1999-03,263679,Hackney
1999-06,276164,Hackney
1999-09,297520,Hackney
1999-12,323046,Hackney
2000-03,341505,Hackney
2000-06,356647,Hackney
2000-09,370348,Hackney
2000-12,388304,Hackney
2001-03,401363,Hackney
2001-06,421825,Hackney
2001-09,443383,Hackney
2001-12,459885,Hackney
2002-03,472719,Hackney
2002-06,487495,Hackney
2002-09,505954,Hackney
2002-12,522862,Hackney
2003-03,539092,Hackney
2003-06,554283,Hackney
2003-09,569015,Hackney
2003-12,572420,Hackney
2004-03,585127,Hackney
2004-06,599772,Hackney
2004-09,611061,Hackney
2004-12,621349,Hackney
2005-03,630106,Hackney
2005-06,632764,Hackney
2005-09,635597,Hackney
2005-12,642231,Hackney
2006-03,654993,Hackney
2006-06,669950,Hackney
2006-09,694095,Hackney
2006-12,709274,Hackney
2007-03,729366,Hackney
2007-06,741353,Hackney
2007-09,763213,Hackney
2007-12,793698,Hackney
2008-03,806244,Hackney
2008-06,830781,Hackney
2008-09,823814,Hackney
2008-12,804906,Hackney
2009-03,808471,Hackney
2009-06,748432,Hackney
2009-09,775359,Hackney
2009-12,800582,Hackney
2010-03,815727,Hackney
2010-06,858599,Hackney
2010-09,871187,Hackney
2010-12,863016,Hackney
2011-03,868947,Hackney
2011-06,857870,Hackney
2011-09,867532,Hackney
2011-12,904268,Hackney
2012-03,899726,Hackney
2012-06,920585,Hackney
2012-09,939071,Hackney
2012-12,956603,Hackney
2013-03,975101,Hackney
2013-06,1023982,Hackney
2013-09,1066162,Hackney
2013-12,1089962,Hackney
2014-03,1132426,Hackney
2014-06,1174280,Hackney
2014-09,1227993,Hackney
2014-12,1264478,Hackney
2015-03,1278734,Hackney
2015-06,1317326,Hackney
2015-09,1354092,Hackney
2015-12,1422592,Hackney
2016-03,1491174,Hackney
2016-06,1514570,Hackney
2016-09,1558386,Hackney
2016-12,1555557,Hackney
2017-03,1535823,Hackney
2017-06,1544438,Hackney
2017-09,1537938,Hackney
2017-12,1547085,Hackney
1995-12,325312,Hammersmith and Fulham
1996-03,334029,Hammersmith and Fulham
1996-06,341328,Hammersmith and Fulham
1996-09,352631,Hammersmith and Fulham
1996-12,358508,Hammersmith and Fulham
1997-03,362041,Hammersmith and Fulham
1997-06,374813,Hammersmith and Fulham
1997-09,396111,Hammersmith and Fulham
1997-12,411819,Hammersmith and Fulham
1998-03,433243,Hammersmith and Fulham
1998-06,451032,Hammersmith and Fulham
1998-09,464918,Hammersmith and Fulham
1998-12,474347,Hammersmith and Fulham
1999-03,479438,Hammersmith and Fulham
1999-06,497210,Hammersmith and Fulham
1999-09,537892,Hammersmith and Fulham
1999-12,576627,Hammersmith and Fulham
2000-03,604281,Hammersmith and Fulham
2000-06,636271,Hammersmith and Fulham
2000-09,655320,Hammersmith and Fulham
2000-12,672268,Hammersmith and Fulham
2001-03,684751,Hammersmith and Fulham
2001-06,699162,Hammersmith and Fulham
2001-09,728254,Hammersmith and Fulham
2001-12,735665,Hammersmith and Fulham
2002-03,746743,Hammersmith and Fulham
2002-06,775295,Hammersmith and Fulham
2002-09,788451,Hammersmith and Fulham
2002-12,819516,Hammersmith and Fulham
2003-03,833420,Hammersmith and Fulham
2003-06,841354,Hammersmith and Fulham
2003-09,847876,Hammersmith and Fulham
2003-12,858016,Hammersmith and Fulham
2004-03,876059,Hammersmith and Fulham
2004-06,900530,Hammersmith and Fulham
2004-09,923539,Hammersmith and Fulham
2004-12,920158,Hammersmith and Fulham
2005-03,931901,Hammersmith and Fulham
2005-06,947556,Hammersmith and Fulham
2005-09,968424,Hammersmith and Fulham
2005-12,986661,Hammersmith and Fulham
2006-03,1003108,Hammersmith and Fulham
2006-06,1018968,Hammersmith and Fulham
2006-09,1046408,Hammersmith and Fulham
2006-12,1057506,Hammersmith and Fulham
2007-03,1101110,Hammersmith and Fulham
2007-06,1143979,Hammersmith and Fulham
2007-09,1201986,Hammersmith and Fulham
2007-12,1258715,Hammersmith and Fulham
2008-03,1296761,Hammersmith and Fulham
2008-06,1314713,Hammersmith and Fulham
2008-09,1303438,Hammersmith and Fulham
2008-12,1308163,Hammersmith and Fulham
2009-03,1272117,Hammersmith and Fulham
2009-06,1210376,Hammersmith and Fulham
2009-09,1238059,Hammersmith and Fulham
2009-12,1276866,Hammersmith and Fulham
2010-03,1300723,Hammersmith and Fulham
2010-06,1361995,Hammersmith and Fulham
2010-09,1412072,Hammersmith and Fulham
2010-12,1416954,Hammersmith and Fulham
2011-03,1416502,Hammersmith and Fulham
2011-06,1434138,Hammersmith and Fulham
2011-09,1425869,Hammersmith and Fulham
2011-12,1440494,Hammersmith and Fulham
2012-03,1442031,Hammersmith and Fulham
2012-06,1456748,Hammersmith and Fulham
2012-09,1482840,Hammersmith and Fulham
2012-12,1518250,Hammersmith and Fulham
2013-03,1559212,Hammersmith and Fulham
2013-06,1585071,Hammersmith and Fulham
2013-09,1663576,Hammersmith and Fulham
2013-12,1713866,Hammersmith and Fulham
2014-03,1758161,Hammersmith and Fulham
2014-06,1815872,Hammersmith and Fulham
2014-09,1900614,Hammersmith and Fulham
2014-12,2009883,Hammersmith and Fulham
2015-03,2068557,Hammersmith and Fulham
2015-06,2168224,Hammersmith and Fulham
2015-09,2179223,Hammersmith and Fulham
2015-12,2173310,Hammersmith and Fulham
2016-03,2199339,Hammersmith and Fulham
2016-06,2201568,Hammersmith and Fulham
2016-09,2184691,Hammersmith and Fulham
2016-12,2192388,Hammersmith and Fulham
2017-03,2194833,Hammersmith and Fulham
2017-06,2208837,Hammersmith and Fulham
2017-09,2265637,Hammersmith and Fulham
2017-12,2290047,Hammersmith and Fulham
1995-12,210003,Haringey
1996-03,214944,Haringey
1996-06,217985,Haringey
1996-09,223102,Haringey
1996-12,232426,Haringey
1997-03,234257,Haringey
1997-06,238990,Haringey
1997-09,247518,Haringey
1997-12,252292,Haringey
1998-03,259603,Haringey
1998-06,272242,Haringey
1998-09,281510,Haringey
1998-12,286629,Haringey
1999-03,289732,Haringey
1999-06,295657,Haringey
1999-09,318380,Haringey
1999-12,336148,Haringey
2000-03,349495,Haringey
2000-06,369325,Haringey
2000-09,383672,Haringey
2000-12,396507,Haringey
2001-03,416597,Haringey
2001-06,432013,Haringey
2001-09,445494,Haringey
2001-12,462174,Haringey
2002-03,467355,Haringey
2002-06,486095,Haringey
2002-09,518380,Haringey
2002-12,546167,Haringey
2003-03,562859,Haringey
2003-06,575158,Haringey
2003-09,578775,Haringey
2003-12,583625,Haringey
2004-03,590484,Haringey
2004-06,607652,Haringey
2004-09,626264,Haringey
2004-12,641921,Haringey
2005-03,656942,Haringey
2005-06,665126,Haringey
2005-09,675091,Haringey
2005-12,675296,Haringey
2006-03,679756,Haringey
2006-06,687119,Haringey
2006-09,709759,Haringey
2006-12,732405,Haringey
2007-03,752431,Haringey
2007-06,779413,Haringey
2007-09,799981,Haringey
2007-12,839336,Haringey
2008-03,858228,Haringey
2008-06,864467,Haringey
2008-09,839794,Haringey
2008-12,808900,Haringey
2009-03,803091,Haringey
2009-06,785471,Haringey
2009-09,794735,Haringey
2009-12,804434,Haringey
2010-03,837885,Haringey
2010-06,860971,Haringey
2010-09,886182,Haringey
2010-12,913324,Haringey
2011-03,931749,Haringey
2011-06,942019,Haringey
2011-09,951765,Haringey
2011-12,946559,Haringey
2012-03,936383,Haringey
2012-06,960587,Haringey
2012-09,955440,Haringey
2012-12,968764,Haringey
2013-03,991048,Haringey
2013-06,992705,Haringey
2013-09,1042456,Haringey
2013-12,1074131,Haringey
2014-03,1084138,Haringey
2014-06,1131100,Haringey
2014-09,1187657,Haringey
2014-12,1245752,Haringey
2015-03,1277017,Haringey
2015-06,1284351,Haringey
2015-09,1289227,Haringey
2015-12,1341689,Haringey
2016-03,1375561,Haringey
2016-06,1412338,Haringey
2016-09,1432809,Haringey
2016-12,1428889,Haringey
2017-03,1490948,Haringey
2017-06,1541875,Haringey
2017-09,1601729,Haringey
2017-12,1635875,Haringey
1995-12,232911,Harrow
1996-03,233879,Harrow
1996-06,235027,Harrow
1996-09,238723,Harrow
1996-12,243660,Harrow
1997-03,245760,Harrow
1997-06,252000,Harrow
1997-09,263223,Harrow
1997-12,273507,Harrow
1998-03,283146,Harrow
1998-06,293556,Harrow
1998-09,303925,Harrow
1998-12,309918,Harrow
1999-03,318200,Harrow
1999-06,327875,Harrow
1999-09,342495,Harrow
1999-12,361812,Harrow
2000-03,375744,Harrow
2000-06,396287,Harrow
2000-09,416743,Harrow
2000-12,429277,Harrow
2001-03,436264,Harrow
2001-06,449597,Harrow
2001-09,466994,Harrow
2001-12,480612,Harrow
2002-03,496723,Harrow
2002-06,517946,Harrow
2002-09,545843,Harrow
2002-12,573873,Harrow
2003-03,592019,Harrow
2003-06,617450,Harrow
2003-09,640904,Harrow
2003-12,660830,Harrow
2004-03,673990,Harrow
2004-06,685690,Harrow
2004-09,698284,Harrow
2004-12,708465,Harrow
2005-03,719162,Harrow
2005-06,720898,Harrow
2005-09,726116,Harrow
2005-12,734023,Harrow
2006-03,734339,Harrow
2006-06,746037,Harrow
2006-09,754090,Harrow
2006-12,755854,Harrow
2007-03,774000,Harrow
2007-06,786203,Harrow
2007-09,809350,Harrow
2007-12,824844,Harrow
2008-03,844143,Harrow
2008-06,850374,Harrow
2008-09,833542,Harrow
2008-12,811869,Harrow
2009-03,779896,Harrow
2009-06,748160,Harrow
2009-09,735608,Harrow
2009-12,738852,Harrow
2010-03,762965,Harrow
2010-06,792480,Harrow
2010-09,821930,Harrow
2010-12,854780,Harrow
2011-03,866543,Harrow
2011-06,867649,Harrow
2011-09,870836,Harrow
2011-12,869885,Harrow
2012-03,862126,Harrow
2012-06,874374,Harrow
2012-09,873259,Harrow
2012-12,875983,Harrow
2013-03,888166,Harrow
2013-06,894793,Harrow
2013-09,913119,Harrow
2013-12,941380,Harrow
2014-03,960377,Harrow
2014-06,997672,Harrow
2014-09,1023909,Harrow
2014-12,1054791,Harrow
2015-03,1091791,Harrow
2015-06,1113119,Harrow
2015-09,1130740,Harrow
2015-12,1163850,Harrow
2016-03,1197277,Harrow
2016-06,1214639,Harrow
2016-09,1265826,Harrow
2016-12,1307050,Harrow
2017-03,1338528,Harrow
2017-06,1366661,Harrow
2017-09,1388373,Harrow
2017-12,1394152,Harrow
1995-12,198787,Havering
1996-03,199664,Havering
1996-06,200230,Havering
1996-09,201501,Havering
1996-12,206951,Havering
1997-03,209380,Havering
1997-06,212808,Havering
1997-09,218911,Havering
1997-12,221270,Havering
1998-03,225990,Havering
1998-06,232365,Havering
1998-09,239746,Havering
1998-12,246487,Havering
1999-03,253341,Havering
1999-06,257133,Havering
1999-09,264964,Havering
1999-12,272355,Havering
2000-03,278128,Havering
2000-06,289596,Havering
2000-09,301749,Havering
2000-12,318781,Havering
2001-03,327793,Havering
2001-06,335841,Havering
2001-09,347669,Havering
2001-12,357248,Havering
2002-03,367501,Havering
2002-06,384467,Havering
2002-09,408425,Havering
2002-12,428162,Havering
2003-03,449102,Havering
2003-06,468819,Havering
2003-09,489795,Havering
2003-12,508778,Havering
2004-03,518805,Havering
2004-06,533797,Havering
2004-09,548511,Havering
2004-12,557372,Havering
2005-03,569038,Havering
2005-06,575024,Havering
2005-09,581505,Havering
2005-12,583950,Havering
2006-03,582980,Havering
2006-06,586929,Havering
2006-09,596830,Havering
2006-12,607085,Havering
2007-03,615030,Havering
2007-06,628261,Havering
2007-09,645335,Havering
2007-12,657183,Havering
2008-03,666573,Havering
2008-06,676880,Havering
2008-09,665928,Havering
2008-12,651409,Havering
2009-03,633809,Havering
2009-06,606960,Havering
2009-09,590936,Havering
2009-12,593208,Havering
2010-03,609783,Havering
2010-06,624593,Havering
2010-09,645866,Havering
2010-12,660925,Havering
2011-03,659542,Havering
2011-06,658198,Havering
2011-09,649252,Havering
2011-12,649449,Havering
2012-03,641711,Havering
2012-06,641168,Havering
2012-09,644869,Havering
2012-12,643978,Havering
2013-03,658742,Havering
2013-06,658746,Havering
2013-09,668199,Havering
2013-12,675277,Havering
2014-03,690735,Havering
2014-06,715000,Havering
2014-09,729583,Havering
2014-12,743337,Havering
2015-03,763723,Havering
2015-06,780549,Havering
2015-09,819579,Havering
2015-12,844450,Havering
2016-03,874810,Havering
2016-06,896795,Havering
2016-09,928243,Havering
2016-12,955331,Havering
2017-03,980279,Havering
2017-06,1001368,Havering
2017-09,1020166,Havering
2017-12,1036009,Havering
1995-12,211967,Hillingdon
1996-03,211262,Hillingdon
1996-06,212563,Hillingdon
1996-09,213766,Hillingdon
1996-12,217270,Hillingdon
1997-03,221320,Hillingdon
1997-06,224503,Hillingdon
1997-09,231529,Hillingdon
1997-12,238010,Hillingdon
1998-03,240797,Hillingdon
1998-06,251223,Hillingdon
1998-09,257306,Hillingdon
1998-12,262985,Hillingdon
1999-03,269455,Hillingdon
1999-06,277900,Hillingdon
1999-09,291498,Hillingdon
1999-12,308084,Hillingdon
2000-03,319406,Hillingdon
2000-06,335279,Hillingdon
2000-09,349839,Hillingdon
2000-12,362851,Hillingdon
2001-03,373190,Hillingdon
2001-06,385508,Hillingdon
2001-09,400340,Hillingdon
2001-12,412738,Hillingdon
2002-03,424133,Hillingdon
2002-06,440736,Hillingdon
2002-09,465931,Hillingdon
2002-12,486682,Hillingdon
2003-03,508131,Hillingdon
2003-06,525762,Hillingdon
2003-09,545379,Hillingdon
2003-12,555930,Hillingdon
2004-03,567371,Hillingdon
2004-06,580030,Hillingdon
2004-09,594007,Hillingdon
2004-12,606346,Hillingdon
2005-03,618159,Hillingdon
2005-06,622193,Hillingdon
2005-09,619946,Hillingdon
2005-12,627653,Hillingdon
2006-03,635124,Hillingdon
2006-06,643846,Hillingdon
2006-09,659671,Hillingdon
2006-12,671560,Hillingdon
2007-03,676658,Hillingdon
2007-06,692363,Hillingdon
2007-09,707462,Hillingdon
2007-12,721866,Hillingdon
2008-03,727183,Hillingdon
2008-06,730553,Hillingdon
2008-09,726495,Hillingdon
2008-12,716499,Hillingdon
2009-03,711110,Hillingdon
2009-06,684094,Hillingdon
2009-09,679101,Hillingdon
2009-12,677030,Hillingdon
2010-03,684148,Hillingdon
2010-06,704890,Hillingdon
2010-09,722207,Hillingdon
2010-12,740441,Hillingdon
2011-03,744262,Hillingdon
2011-06,747427,Hillingdon
2011-09,747560,Hillingdon
2011-12,741959,Hillingdon
2012-03,735662,Hillingdon
2012-06,742715,Hillingdon
2012-09,746667,Hillingdon
2012-12,757045,Hillingdon
2013-03,780735,Hillingdon
2013-06,773975,Hillingdon
2013-09,776540,Hillingdon
2013-12,796982,Hillingdon
2014-03,809813,Hillingdon
2014-06,833331,Hillingdon
2014-09,867649,Hillingdon
2014-12,897513,Hillingdon
2015-03,931904,Hillingdon
2015-06,947001,Hillingdon
2015-09,988976,Hillingdon
2015-12,1029814,Hillingdon
2016-03,1064103,Hillingdon
2016-06,1095807,Hillingdon
2016-09,1124040,Hillingdon
2016-12,1143040,Hillingdon
2017-03,1167146,Hillingdon
2017-06,1174991,Hillingdon
2017-09,1197098,Hillingdon
2017-12,1203164,Hillingdon
1995-12,224486,Hounslow
1996-03,225388,Hounslow
1996-06,225462,Hounslow
1996-09,223914,Hounslow
1996-12,226116,Hounslow
1997-03,226690,Hounslow
1997-06,231963,Hounslow
1997-09,240498,Hounslow
1997-12,249280,Hounslow
1998-03,259634,Hounslow
1998-06,272527,Hounslow
1998-09,284535,Hounslow
1998-12,297436,Hounslow
1999-03,302652,Hounslow
1999-06,312233,Hounslow
1999-09,328737,Hounslow
1999-12,345374,Hounslow
2000-03,364140,Hounslow
2000-06,383786,Hounslow
2000-09,398174,Hounslow
2000-12,406994,Hounslow
2001-03,419030,Hounslow
2001-06,427884,Hounslow
2001-09,448432,Hounslow
2001-12,460705,Hounslow
2002-03,474980,Hounslow
2002-06,495042,Hounslow
2002-09,514901,Hounslow
2002-12,533245,Hounslow
2003-03,548592,Hounslow
2003-06,565206,Hounslow
2003-09,582549,Hounslow
2003-12,600541,Hounslow
2004-03,603850,Hounslow
2004-06,614596,Hounslow
2004-09,629296,Hounslow
2004-12,637464,Hounslow
2005-03,651608,Hounslow
2005-06,653959,Hounslow
2005-09,657666,Hounslow
2005-12,659874,Hounslow
2006-03,671506,Hounslow
2006-06,680745,Hounslow
2006-09,701596,Hounslow
2006-12,712904,Hounslow
2007-03,724078,Hounslow
2007-06,734512,Hounslow
2007-09,753431,Hounslow
2007-12,777751,Hounslow
2008-03,789969,Hounslow
2008-06,802123,Hounslow
2008-09,795200,Hounslow
2008-12,775386,Hounslow
2009-03,753613,Hounslow
2009-06,730192,Hounslow
2009-09,740121,Hounslow
2009-12,746366,Hounslow
2010-03,764020,Hounslow
2010-06,777378,Hounslow
2010-09,789687,Hounslow
2010-12,800145,Hounslow
2011-03,815900,Hounslow
2011-06,820546,Hounslow
2011-09,821476,Hounslow
2011-12,823274,Hounslow
2012-03,807529,Hounslow
2012-06,818344,Hounslow
2012-09,830334,Hounslow
2012-12,838681,Hounslow
2013-03,864311,Hounslow
2013-06,877024,Hounslow
2013-09,885261,Hounslow
2013-12,900651,Hounslow
2014-03,920562,Hounslow
2014-06,932000,Hounslow
2014-09,963671,Hounslow
2014-12,995529,Hounslow
2015-03,1004791,Hounslow
2015-06,1027886,Hounslow
2015-09,1064532,Hounslow
2015-12,1097229,Hounslow
2016-03,1144385,Hounslow
2016-06,1176461,Hounslow
2016-09,1173428,Hounslow
2016-12,1149085,Hounslow
2017-03,1154725,Hounslow
2017-06,1143983,Hounslow
2017-09,1154399,Hounslow
2017-12,1199321,Hounslow
1995-12,284685,Islington
1996-03,284483,Islington
1996-06,290098,Islington
1996-09,295382,Islington
1996-12,301467,Islington
1997-03,307491,Islington
1997-06,323439,Islington
1997-09,335821,Islington
1997-12,346922,Islington
1998-03,358335,Islington
1998-06,374144,Islington
1998-09,394801,Islington
1998-12,412632,Islington
1999-03,428688,Islington
1999-06,446517,Islington
1999-09,474030,Islington
1999-12,502464,Islington
2000-03,527202,Islington
2000-06,551819,Islington
2000-09,573810,Islington
2000-12,589043,Islington
2001-03,595800,Islington
2001-06,619453,Islington
2001-09,633760,Islington
2001-12,636102,Islington
2002-03,652207,Islington
2002-06,667770,Islington
2002-09,695587,Islington
2002-12,720154,Islington
2003-03,722110,Islington
2003-06,723800,Islington
2003-09,728080,Islington
2003-12,727751,Islington
2004-03,740820,Islington
2004-06,748417,Islington
2004-09,757925,Islington
2004-12,770253,Islington
2005-03,774501,Islington
2005-06,797848,Islington
2005-09,815063,Islington
2005-12,818399,Islington
2006-03,826409,Islington
2006-06,848129,Islington
2006-09,862812,Islington
2006-12,890772,Islington
2007-03,920178,Islington
2007-06,957407,Islington
2007-09,1009924,Islington
2007-12,1038032,Islington
2008-03,1077756,Islington
2008-06,1086908,Islington
2008-09,1072385,Islington
2008-12,1047991,Islington
2009-03,1029786,Islington
2009-06,996705,Islington
2009-09,997883,Islington
2009-12,1011716,Islington
2010-03,1029871,Islington
2010-06,1070701,Islington
2010-09,1110951,Islington
2010-12,1155548,Islington
2011-03,1174470,Islington
2011-06,1193085,Islington
2011-09,1212909,Islington
2011-12,1201815,Islington
2012-03,1196525,Islington
2012-06,1223160,Islington
2012-09,1220122,Islington
2012-12,1237478,Islington
2013-03,1273207,Islington
2013-06,1287650,Islington
2013-09,1342974,Islington
2013-12,1384545,Islington
2014-03,1422986,Islington
2014-06,1468886,Islington
2014-09,1521705,Islington
2014-12,1602697,Islington
2015-03,1642057,Islington
2015-06,1686998,Islington
2015-09,1729355,Islington
2015-12,1761095,Islington
2016-03,1786424,Islington
2016-06,1794867,Islington
2016-09,1808455,Islington
2016-12,1844590,Islington
2017-03,1852505,Islington
