CalendarYearMonth,Value,District
2017-12,1591862,Barnet
1995-12,179724,Bexley
1996-03,179593,Bexley
1996-06,181963,Bexley
1996-09,183185,Bexley
1996-12,188928,Bexley
1997-03,193662,Bexley
1997-06,198774,Bexley
1997-09,203264,Bexley
1997-12,205226,Bexley
1998-03,210722,Bexley
1998-06,216081,Bexley
1998-09,221781,Bexley
1998-12,227793,Bexley
1999-03,230743,Bexley
1999-06,234599,Bexley
1999-09,242218,Bexley
1999-12,250496,Bexley
2000-03,258401,Bexley
2000-06,266016,Bexley
2000-09,279232,Bexley
2000-12,286758,Bexley
2001-03,297356,Bexley
2001-06,308756,Bexley
2001-09,323437,Bexley
2001-12,335500,Bexley
2002-03,344887,Bexley
2002-06,361540,Bexley
2002-09,382964,Bexley
2002-12,406491,Bexley
2003-03,422892,Bexley
2003-06,442993,Bexley
2003-09,459079,Bexley
2003-12,473215,Bexley
2004-03,483057,Bexley
2004-06,493661,Bexley
2004-09,502824,Bexley
2004-12,512456,Bexley
2005-03,521077,Bexley
2005-06,526551,Bexley
2005-09,528577,Bexley
2005-12,531877,Bexley
2006-03,536788,Bexley
2006-06,542828,Bexley
2006-09,554614,Bexley
2006-12,568041,Bexley
2007-03,574739,Bexley
2007-06,585143,Bexley
2007-09,600800,Bexley
2007-12,610822,Bexley
2008-03,618538,Bexley
2008-06,619168,Bexley
2008-09,615460,Bexley
2008-12,598996,Bexley
2009-03,581146,Bexley
2009-06,572747,Bexley
2009-09,565093,Bexley
2009-12,570708,Bexley
2010-03,582456,Bexley
2010-06,594573,Bexley
2010-09,604834,Bexley
2010-12,614094,Bexley
2011-03,610466,Bexley
2011-06,612813,Bexley
2011-09,615693,Bexley
2011-12,612837,Bexley
2012-03,614370,Bexley
2012-06,605610,Bexley
2012-09,604093,Bexley
2012-12,603343,Bexley
2013-03,613768,Bexley
2013-06,620403,Bexley
2013-09,625983,Bexley
2013-12,640302,Bexley
2014-03,650376,Bexley
2014-06,670958,Bexley
2014-09,698834,Bexley
2014-12,713140,Bexley
2015-03,738388,Bexley
2015-06,747429,Bexley
2015-09,765641,Bexley
2015-12,797583,Bexley
2016-03,827428,Bexley
2016-06,871533,Bexley
2016-09,907022,Bexley
2016-12,927997,Bexley
2017-03,938486,Bexley
2017-06,945684,Bexley
2017-09,961613,Bexley
2017-12,981440,Bexley
1995-12,200731,Brent
1996-03,204574,Brent
1996-06,206953,Brent
1996-09,210134,Brent
1996-12,214656,Brent
1997-03,219146,Brent
1997-06,223770,Brent
1997-09,233436,Brent
1997-12,244342,Brent
1998-03,252165,Brent
1998-06,264762,Brent
1998-09,274752,Brent
1998-12,282241,Brent
1999-03,290776,Brent
1999-06,294579,Brent
1999-09,305039,Brent
1999-12,320191,Brent
2000-03,336656,Brent
2000-06,359398,Brent
2000-09,378762,Brent
2000-12,394482,Brent
2001-03,405353,Brent
2001-06,421952,Brent
2001-09,439777,Brent
2001-12,453702,Brent
2002-03,465412,Brent
2002-06,483668,Brent
2002-09,512425,Brent
2002-12,540929,Brent
2003-03,560809,Brent
2003-06,576968,Brent
2003-09,592195,Brent
2003-12,604380,Brent
2004-03,618616,Brent
2004-06,632877,Brent
2004-09,642509,Brent
2004-12,651188,Brent
2005-03,656901,Brent
2005-06,666885,Brent
2005-09,678776,Brent
2005-12,690131,Brent
2006-03,697341,Brent
2006-06,705348,Brent
2006-09,718184,Brent
2006-12,730988,Brent
2007-03,742876,Brent
2007-06,756709,Brent
2007-09,802637,Brent
2007-12,823548,Brent
2008-03,842605,Brent
2008-06,851255,Brent
2008-09,836670,Brent
2008-12,820859,Brent
2009-03,806047,Brent
2009-06,793088,Brent
2009-09,791213,Brent
2009-12,804292,Brent
2010-03,801923,Brent
2010-06,807249,Brent
2010-09,829598,Brent
2010-12,841482,Brent
2011-03,862723,Brent
2011-06,881367,Brent
2011-09,888758,Brent
2011-12,892591,Brent
2012-03,901788,Brent
2012-06,918779,Brent
2012-09,936728,Brent
2012-12,956202,Brent
2013-03,965679,Brent
2013-06,975514,Brent
2013-09,1009011,Brent
2013-12,1024816,Brent
2014-03,1050944,Brent
2014-06,1068868,Brent
2014-09,1086566,Brent
2014-12,1114709,Brent
2015-03,1153995,Brent
2015-06,1178811,Brent
2015-09,1197067,Brent
2015-12,1239249,Brent
2016-03,1263679,Brent
2016-06,1265358,Brent
2016-09,1304696,Brent
2016-12,1295061,Brent
2017-03,1305502,Brent
2017-06,1353744,Brent
2017-09,1379466,Brent
2017-12,1455634,Brent
1995-12,231864,Bromley
1996-03,234121,Bromley
1996-06,234921,Bromley
1996-09,240525,Bromley
1996-12,242880,Bromley
1997-03,245385,Bromley
1997-06,249283,Bromley
1997-09,254065,Bromley
1997-12,258380,Bromley
1998-03,266952,Bromley
1998-06,275736,Bromley
1998-09,284805,Bromley
1998-12,294250,Bromley
1999-03,299304,Bromley
1999-06,311878,Bromley
1999-09,325900,Bromley
1999-12,341232,Bromley
2000-03,357834,Bromley
2000-06,370652,Bromley
2000-09,385915,Bromley
2000-12,398661,Bromley
2001-03,409489,Bromley
2001-06,422936,Bromley
2001-09,436942,Bromley
2001-12,452507,Bromley
2002-03,463685,Bromley
2002-06,478522,Bromley
2002-09,503799,Bromley
2002-12,524235,Bromley
2003-03,548293,Bromley
2003-06,569543,Bromley
2003-09,587558,Bromley
2003-12,604974,Bromley
2004-03,612207,Bromley
2004-06,629942,Bromley
2004-09,646014,Bromley
2004-12,659554,Bromley
2005-03,666206,Bromley
2005-06,671861,Bromley
2005-09,676479,Bromley
2005-12,679187,Bromley
2006-03,688980,Bromley
2006-06,694234,Bromley
2006-09,705860,Bromley
2006-12,715030,Bromley
2007-03,722372,Bromley
2007-06,740917,Bromley
2007-09,759568,Bromley
2007-12,784460,Bromley
2008-03,798381,Bromley
2008-06,796500,Bromley
2008-09,787370,Bromley
2008-12,758163,Bromley
2009-03,753824,Bromley
2009-06,745842,Bromley
2009-09,733011,Bromley
2009-12,746893,Bromley
2010-03,754018,Bromley
2010-06,769965,Bromley
2010-09,806002,Bromley
2010-12,816719,Bromley
2011-03,817837,Bromley
2011-06,818656,Bromley
2011-09,822237,Bromley
2011-12,822599,Bromley
2012-03,819677,Bromley
2012-06,820690,Bromley
2012-09,819154,Bromley
2012-12,827874,Bromley
2013-03,836811,Bromley
2013-06,843864,Bromley
2013-09,855136,Bromley
2013-12,879503,Bromley
2014-03,896033,Bromley
2014-06,924253,Bromley
2014-09,963747,Bromley
2014-12,988558,Bromley
2015-03,1016046,Bromley
2015-06,1043866,Bromley
2015-09,1075408,Bromley
2015-12,1107632,Bromley
2016-03,1137993,Bromley
2016-06,1171893,Bromley
2016-09,1198334,Bromley
2016-12,1225384,Bromley
2017-03,1240582,Bromley
2017-06,1245650,Bromley
2017-09,1266650,Bromley
2017-12,1282286,Bromley
1995-12,343187,Camden
1996-03,339993,Camden
1996-06,352019,Camden
1996-09,368973,Camden
1996-12,382676,Camden
1997-03,398801,Camden
1997-06,407724,Camden
1997-09,417141,Camden
1997-12,436937,Camden
1998-03,445088,Camden
1998-06,459414,Camden
1998-09,488839,Camden
1998-12,491455,Camden
1999-03,503267,Camden
1999-06,516639,Camden
1999-09,548968,Camden
1999-12,577315,Camden
2000-03,608796,Camden
2000-06,647941,Camden
2000-09,683610,Camden
2000-12,715278,Camden
2001-03,737290,Camden
2001-06,745013,Camden
2001-09,763208,Camden
2001-12,772985,Camden
2002-03,778116,Camden
2002-06,793773,Camden
2002-09,841484,Camden
2002-12,865930,Camden
2003-03,868752,Camden
2003-06,887457,Camden
2003-09,875661,Camden
2003-12,859057,Camden
2004-03,872561,Camden
2004-06,881967,Camden
2004-09,911102,Camden
2004-12,942273,Camden
2005-03,963240,Camden
2005-06,984403,Camden
2005-09,1008670,Camden
2005-12,1010204,Camden
2006-03,1041002,Camden
2006-06,1056372,Camden
2006-09,1069505,Camden
2006-12,1104512,Camden
2007-03,1137484,Camden
2007-06,1177899,Camden
2007-09,1246699,Camden
2007-12,1275845,Camden
2008-03,1294329,Camden
2008-06,1358484,Camden
2008-09,1381432,Camden
2008-12,1399028,Camden
2009-03,1393957,Camden
2009-06,1329227,Camden
2009-09,1293599,Camden
2009-12,1305405,Camden
2010-03,1350946,Camden
2010-06,1372741,Camden
2010-09,1469426,Camden
2010-12,1529698,Camden
2011-03,1559083,Camden
2011-06,1580040,Camden
2011-09,1566142,Camden
2011-12,1545400,Camden
2012-03,1524499,Camden
2012-06,1552832,Camden
2012-09,1588077,Camden
2012-12,1633183,Camden
2013-03,1637799,Camden
2013-06,1685851,Camden
2013-09,1779907,Camden
2013-12,1819106,Camden
2014-03,1881849,Camden
2014-06,1952429,Camden
2014-09,2007840,Camden
2014-12,2094651,Camden
2015-03,2132441,Camden
2015-06,2144080,Camden
2015-09,2202045,Camden
2015-12,2242485,Camden
2016-03,2342839,Camden
2016-06,2356493,Camden
2016-09,2309442,Camden
2016-12,2325393,Camden
2017-03,2261088,Camden
2017-06,2364961,Camden
2017-09,2435176,Camden
2017-12,2411504,Camden
1995-12,331208,City of London
1996-03,346835,City of London
1996-06,331637,City of London
1996-09,343610,City of London
1996-12,352878,City of London
1997-03,365200,City of London
1997-06,381375,City of London
1997-09,383448,City of London
1997-12,399496,City of London
1998-03,481080,City of London
1998-06,491435,City of London
1998-09,502717,City of London
1998-12,527038,City of London
1999-03,545340,City of London
1999-06,548988,City of London
1999-09,560199,City of London
1999-12,558399,City of London
2000-03,535317,City of London
2000-06,556993,City of London
2000-09,578600,City of London
2000-12,621405,City of London
2001-03,658477,City of London
2001-06,716156,City of London
2001-09,703022,City of London
2001-12,689150,City of London
2002-03,661321,City of London
2002-06,644574,City of London
2002-09,691465,City of London
2002-12,717272,City of London
2003-03,802838,City of London
2003-06,844094,City of London
2003-09,855358,City of London
2003-12,850216,City of London
